"Field","Value"
"Title","THE CARTOGRAPHER OF LAST THINGS"
"Subtitle",""
"Author","Bartlett Labs"
"Description","<b>She maps disaster zones for FEMA. For fifteen years, she's been mapping something else.</b>

Vera Sousa reads destruction the way a doctor reads an X-ray. As a geospatial analyst for FEMA, she's walked through the mud lines on Appalachian kitchen walls, catalogued the foundation slabs of Paradise, California, and photographed the silt-choked basements of the Midwest. She is meticulous, methodical, and haunted.

Because Vera has been tracking a pattern.

Fifteen years of floods, fires, and infrastructure collapses. Forty-three American cities. A private firm called Axiom Infrastructure Partners that holds maintenance contracts in every single one. And a probability figure that says the clustering of catastrophic failures in those cities is not natural — not accidental — not coincidence.

<b>The probability is less than three-tenths of one percent.</b>

But Vera is a GS-9 analyst, not a scientist. Her research has never been peer-reviewed. Her method was built outside official channels over years of quiet obsession — an obsession that started when her brother died in a gas explosion in 2009 that was ruled accidental. That explosion is data point one on her map.

The morning she's finally ready to bring her evidence forward, she is assigned to map the aftermath of a flash flood in her own neighborhood in Asheville, North Carolina. Four of her neighbors are dead. The flood appears on her pattern map as deliberate.

Now Vera must prove what she knows while the people around her — colleagues, supervisors, investigators — begin to wonder whether she's uncovering a conspiracy or constructing one from grief.

<i>The Cartographer of Last Things</i> is a literary thriller about pattern recognition and the terrible question at its center: <b>How much certainty do we owe ourselves before we act on what we know — and what's the difference between seeing a pattern and needing one to exist?</b>"
"Keyword 1","disaster pattern recognition thriller"
"Keyword 2","thriller for adult readers"
"Keyword 3","disaster pattern recognition book"
"Keyword 4","disaster pattern recognition gift"
"Keyword 5","disaster pattern recognition guide"
"Keyword 6","best disaster pattern recognition books"
"Keyword 7","disaster pattern recognition reading"
"Category 1","Mystery, Thriller & Suspense > Thrillers"
"Category 2","Literature & Fiction > Genre Fiction"
"Price (USD)","9.99"
